,片名,導演,主演
78,热血合唱团,['关信辉'],"['刘德华', '卢冠廷', '雷颂德', '鄂靖文', '吴岱融', '谢君豪']"
79,九条命,['钱路劼'],"['李幼斌', '王挺', '姜超', '张振华']"
80,冬去冬又来,['邢健'],"['颜丙燕', '高强']"
81,被阳光移动的山脉,['王强'],"['丹增晋美', '索朗卓嘎']"
82,丑角儿,['康与江'],"['苏瑾', '来喜', '丁海峰']"
83,气球,['万玛才旦'],"['索朗旺姆', '金巴', '杨秀措']"
84,除暴,['刘浩良'],"['王千源', '吴彦祖', '春夏', '卫诗雅']"
85,天堂的张望,['杜斌'],"['杜奕衡', '朱梓玥', '王力可', '吴志雄']"
86,妈祖回家,['蒲剑'],"['赵亮', '葛玟希', '关德辉', '方清平']"
87,永不沉默,"['李建兴', '杨恭磊']","['梁春书', '温海波', '蒋林静', '袁宗轩']"
88,反毒风暴,['区德辉'],"['张禄轩', '吕熙', '陈观泰']"
89,守望相思树,"['丁震', '温馨']","['朱研', '李槐龙', '宋春丽']"
90,妈妈不再摇滚,['马建军'],"['邵淑环', '陈铮', '钟宇然']"
91,骄阳,['郭家良'],"['江佳奇', '岳承轩']"
92,应承,['王军'],"['冯远征', '雷恪生']"
93,日光之下,['梁鸣'],"['吕星辰', '吴晓亮', '王佳佳', '陈永忠']"
94,星溪的三次奇遇,['竹原青'],"['许芳铱', '帕斯卡尔·格雷戈里', '黄若熙']"
95,一秒钟,['张艺谋'],"['张译', '刘浩存', '范伟', '余皑磊']"
96,赤狐书生,"['宋灏霖', '伊力奇']","['陈立农', '李现', '哈妮克孜', '裴魁山', '姜超', '张晨光', '王耀庆', '郝劭文', '恬妞']"
97,如果声音不记得,['落落'],"['章若楠', '孙晨竣', '王彦霖', '严屹宽', '左小青', '张瑶', '郭姝彤']"
98,五彩缤纷,['胡安'],"['朱珠', '艾米·欧文', '李雅男']"
99,残香无痕,['大飞'],"['上白', '许曦文', '王新忠']"
100,大傩·董春女,['姬诚'],"['李金铭', '李东翰', '宋星翰']"
101,周而复死,['王小明'],"['吴一含', '包小平']"
102,真假美猴王之大圣无双,['罗乐'],"['杜奕衡', '贺刚', '金巧巧', '吴孟达']"
103,半条棉被,['孟奇'],"['陶慧', '童蕾']"
104,沐浴之王,['易小星'],"['彭昱畅', '乔杉', '卜冠今', '苇青', '金世佳', '洪剑涛']"
105,少女佳禾,['周笋'],"['邓恩熙', '李感', '吴国华']"
106,灌篮高手的契约,['王岽鉴'],"['叶文灏', '李觅尔', '赵哲晨']"
107,棒！少年,['许慧晶'],['纪录片']
108,紧急救援,['林超贤'],"['彭于晏', '王彦霖', '辛芷蕾', '蓝盈莹', '王雨甜', '徐洋', '陈家乐', '李岷城', '张国强', '郭晓东', '魏大勋']"
109,神探罗蒙,['何艺林'],"['金子', '吴烨', '希童']"
110,外来书记,['孙晋'],"['邢杰', '郭冬临', '黄晓娟', '邵峰']"
111,围屋喜事,['韩荣声'],"['李佳倪', '詹益铭', '黄金涛']"
112,太空熊猫英雄诞生,"['李杨', '陈磊']",['动画片']
113,云水,['曾赠'],"['秦海璐', '田雨', '余皑磊', '焦刚', '周楚濋']"
114,光语者,"['孙辉', '冯冯', '杨紫云', '周全']",['纪录片']
115,拆弹专家2,['邱礼涛'],"['刘德华', '刘青云', '倪妮', '谢君豪', '姜皓文', '吴卓羲', '马浴柯']"
116,明天你是否依然爱我,['周楠'],"['杨颖', '李鸿其', '黄柏钧']"
117,封口者,['蔡明'],"['左溢', '安宁', '裴筝筝', '马翰']"
118,晴雅集,['郭敬明'],"['赵又廷', '邓伦', '王子文', '春夏', '汪铎', '徐开骋']"
119,剩女觅爱记,['史震飞'],"['秦雅思', '孟翔', '吴海棠', '张净桐']"
120,奇妙王国之魔法奇缘,['陈设'],['动画片']
121,随风飘散,['旦真旺甲'],"['更登彭措', '索朗旺姆', '旺卓措', '久西草']"
122,送你一朵小红花,['韩延'],"['易烊千玺', '刘浩存', '朱媛媛', '高亚麟', '夏雨', '岳云鹏']"
123,温暖的抱抱,['常远'],"['常远', '李沁', '沈腾', '乔杉']"
