,片名,導演,主演
0,极速保镖,['王星哲'],"['王清亭', '王洪祥']"
1,星球人,['方锦历'],[]
2,无名,['程耳'],"['梁朝伟', '王一博', '周迅', '王传君', '森博之', '江疏影', '黄磊', '张婧仪', '大鹏']"
3,风再起时,['翁子光'],"['郭富城', '梁朝伟', '杜鹃', '许冠文', '谭耀文', '周文健', '何珮瑜', '金燕玲', '吴卓羲', '张继聪', '张可颐', '谢君豪', '徐天佑', '白只', '曾一萱', '张兆辉']"
4,我的青春不再见,['刘渂'],"['冷海铭', '温心', '曲少石']"
5,山乡宁静,['赵春梁'],"['张子文', '杨添添', '刘雨霏', '王海涛']"
6,可不可以不要离开我,"['王子鸣', '萧飞']","['郭涛', '卢靖姗', '贾冰', '陈乔恩', '吴樾', '克拉拉', '盛以婕', '姜皓文', '朱鉴然']"
7,不能流泪的悲伤,['唐家辉'],"['蔡凡熙', '何蓝逗', '许光汉', '王耀庆']"
8,胡杨林之恋,['陈成'],"['赵亮', '孙洪涛', '王静', '王双宝']"
9,环海战记,['万剑琨'],"['王哲', '罗小刚', '王斌', '李建耀']"
10,冰山下的守望者,['杜阳'],"['魏允熙', '刘浩闻', '马继']"
11,冥绝村,['赵禹'],"['吴健', '王艺禅']"
12,中国乒乓之绝地反击,"['邓超', '俞白眉']","['邓超', '孙俪', '许魏洲', '段博文', '蔡宜达', '丁冠森', '孙浠伦', '吴京', '俞灏明']"
13,我的初恋十八岁,['王择谚'],"['林辰涵', '曹峻祥', '翁虹', '汤镇宗', '刘亚津']"
14,毒舌律师,['吴炜伦'],"['黄子华', '谢君豪', '王丹妮', '廖子妤', '王敏德']"
15,会考试的猛犸象,['王念一'],"['邓恩熙', '许淇杰']"
16,拨浪鼓咚咚响,['白志强'],"['惠王军', '白泽泽']"
17,断网,['黄庆勋'],"['郭富城', '任达华', '林家栋', '谭耀文', '黄德斌', '赖雅妍']"
18,荒原,['左志国'],"['任素汐', '李晨']"
19,不二兄弟,['郭修篆'],"['李茂', '林哲熹', '何泓姗', '巴图', '李梦']"
20,海湾之遇,['高建国'],"['黄璐', '赵淑珍', '蒋小涵', '刘亦然']"
21,敦煌女儿,['滕俊杰'],"['茅善玉', '钱思剑']"
22,回廊亭,['来牧宽'],"['任素汐', '刘敏涛', '胡可', '吴昊宸', '张隽溢', '李传缨', '芦芳生 ']"
23,保你平安,['大鹏'],"['大鹏', '李雪琴', '尹正', '王迅', '王圣迪', '马丽', '宋茜', '白宇', '贾冰', '倪虹洁', '乔杉', '曹炳琨']"
24,我们的岁月,['谢悠'],"['李肖宁', '郭玮洁', '张杍涵', '刘奚子']"
25,不止不休,['王晶'],"['白客', '苗苗', '张颂文']"
26,望道,['侯咏'],"['刘烨', '胡军', '文咏珊', '奚美娟', '王紫逸']"
27,宇宙探索编辑部,['孔大山'],"['杨皓宇', '艾丽娅', '王一通', '蒋奇明', '郭帆', '龚格尔']"
28,龙马精神,['杨子'],"['成龙', '刘浩存', '郭麒麟']"
29,绝地追击,['邱礼涛'],"['欧豪', '谷嘉诚', '俞灏明', '黄尧', '九孔', '徐光宇', '王挺', '尤勇智', '邵兵', '杜源', '高至霆', '王雨甜', '史彭元', '朱颜曼滋']"
30,倍儿喜欢你,['郭大雷'],"['贾冰', '柳岩', '杨新鸣', '施予斐', '郭力行', '常远', '魏翔', '鄂靖文', '冯雷', '曾黎', '修睿', '刘天佐']"
31,长空之王,['刘晓世'],"['王一博', '胡军', '周冬雨', '田壮壮', '赵子琪', '成泰燊']"
32,人生路不熟,['易小星'],"['乔杉', '范丞丞', '马丽', '张婧仪', '常远', '田雨', '尹正']"
33,惊天救援,['彭顺'],"['杜江', '王千源', '佟丽娅', '韩雪', '俞灏明', '韩东君', '印小天', '罗嘉良', '苏岩', '丁海峰', '胡军', '蒋梦婕', '徐正溪 ']"
34,检察风云,['麦兆辉'],"['黄景瑜', '白百何', '王丽坤', '王千源', '冯绍峰', '包贝尔']"
