,片名,導演,主演
0,李茂扮太子,['高可'],"['马丽', '常远', '艾伦', '张一鸣', '克拉拉']"
1,魔法精灵,['蒋叶峰'],['动画片']
2,带你去见我妈,['蓝鸿春'],"['郑润奇', '钟少贤', '卢珊']"
3,张之洞,['三丑'],"['刘长纯', '陈丽娜', '史可', '高兰村']"
4,屋内有人,['边原'],"['吴涵伊', '田小洁', '于震', '于小伟']"
5,一江春水,['高启盛'],"['李妍锡', '祝康笠']"
6,独家头条,['周文武贝'],"['余佳淼', '郑嘉颖', '刘帅良', '徐洁儿', '曲哲明', '车永莉', '郭家铭']"
7,冰上时刻,['刘汉祥'],['纪录片']
8,萌鸡小队：萌闯新世界,['冯操'],['动画片']
9,九妹,"['卫青', '李麒']","['杨童舒', '郭家铭']"
10,农民院士,"['于荣光', '彭杰']","['于荣光', '王砚辉', '高泰宇', '马雅舒', '朱晓渔', '张国强']"
11,东北虎,['耿軍'],"['章宇', '马丽']"
12,来处是归途,['刘泽'],"['唐小然', '张鸿敬', '李坤棉']"
13,纹身,['陆一铜'],"['赵文卓', '王圣迪', '徐冬冬', '李岷城', '范逸臣']"
14,村里来了个洋媳妇,['任意飞'],"['卢誉文', '伟小丽']"
15,京北的我们,['李明'],"['陈梓豪', '田娜', '孙飞翔']"
16,向着明亮那方,"['兰茜雅', '李念泽']",['动画片']
17,谷魂,['黄山'],['高峰']
18,反击者2,['夏鹏'],"['赵雪迎', '苏小糖']"
19,四海,['韩寒'],"['刘昊然', '刘浩存', '沈腾', '尹正', '乔杉', '周奇', '张宥浩', '冯绍峰', '黄晓明', '王彦霖', '陈小春', '吴彦姝', '万梓良', '赵子琪']"
20,奇迹·笨小孩,['文牧野'],"['易烊千玺', '田雨', '齐溪', '黄尧', '王传君', '章宇', '张志坚', '杨新鸣', '咏梅', '徐峥']"
21,狙击手,"['张艺谋', '张末']","['陈永胜', '章宇', '张译']"
22,长津湖之水门桥,"['陈凯歌', '徐克', '林超贤']","['吴京', '易烊千玺', '朱亚文', '李晨', '胡军', '段奕宏', '韩东君', '张涵予', '耿乐', '杜淳']"
23,这个杀手不太冷静,['邢文雄'],"['马丽', '魏翔', '陈明昊', '周大勇', '黄才伦', '艾伦']"
24,喜羊羊与灰太狼之筐出未来,['黄伟明'],['动画片']
25,熊出没·重返地球,['林汇达'],['动画片']
26,小虎墩大英雄,"['邹燚', '曾靖雄']",['动画片']
27,十年一品温如言,['赵非'],"['丁禹兮', '任敏', '李泽锋', '漆昱辰', '辛云来']"
28,好想去你的世界爱你,['孙琳'],"['周依然', '施柏宇', '祁圣翰']"
29,不要忘记我爱你,['黄真真'],"['古力娜扎', '刘以豪', '张歆艺', '马志威']"
30,世界唯一一个你,['张艺馨'],"['许月庆', '陈云飞', '张晨光', '杨童舒']"
31,夜花火,['高伟宁'],"['王挺', '颜丹晨', '徐洁儿']"
32,密案1922,['梁煜良'],"['张亚奇', '钟星辉', '李佳璇']"
33,我们的冬奥,"['林永长', '李豪凌']",['动画片']
34,只属于我们的一天,['李敏'],"['王祖蓝', '蔡卓妍', '黄德斌', '汤怡', '郭伟亮', '邓树荣', '卫诗雅']"
35,我心飞扬,['王放放'],"['孟美岐', '夏雨']"
36,你是我的一束光,['王强'],"['袁文康', '王西', '邓超']"
37,小镇夕阳,['陆建光'],"['韩继庆', '褚柳生']"
38,浴血誓言,['宋业明'],"['宋禹', '赵秦', '任帅', '徐永革']"
39,男神游戏,"['周洋旭', '毛光彦']","['赵旭东', '李清君', '谢家毅']"
40,今年过年就结婚,['史卫强'],"['李丞峰', '韩铠伊', '邓钢', '阎青妤']"
41,大国粮仓,['熊延江'],['纪录片']
42,柳浪闻莺,['戴玮'],"['汪飏', '阚昕', '郑云龙']"
43,心想念动,['汪清忠'],"['曹子辰', '裘晓洁', '汪才杰']"
44,如果有一天我将会离开你,['李亘'],"['齐溪', '谢承泽', '牛超', '邱天', '宋宁峰', '陈永忠', '松本淳子', '大槻修治', '今本洋子', '张艾嘉']"
45,可不可以你也刚好喜欢我,['简学彬'],"['曹佑宁', '陈妤', '林映唯', '杨谨华', '黄健玮', '程予希']"
46,读心者之深海,['边军'],"['牛颢霖', '沈丽华']"
47,暑期何漫漫,['波人'],"['田思远', '孙斌', '丁子玲', '梅二月']"
48,钟馗伏妖,['王晓泽'],"['王已歌', '琪格', '叶常清']"
49,南溟奇缘之爱情树,['彭芾'],"['斯琴高娃', '须乾', '李梅可']"
50,赤焱传说,[],['郭力行']
51,花儿为什么这样红,['阿不都克力木·阿不力孜'],"['库提鲁克江·艾沙胡加', '艾克白尔·斯拉木', '贺刚', '贾宏伟']"
52,年少有你,['张善南'],"['张善南', '李明源', '范云飞', '郭素洁', '颜世魁']"
53,“炼”爱,['董雪莹'],['纪录片']
54,玛纳斯人之失落的秘境,['布一贤'],"['路宏', '杨凯迪']"
55,野夏天,['苏哲贤'],"['陈嘉桦', '耿乐', '陈以文', '黄瀞怡', '蓝皓东', '林晖闵']"
56,安魂,['日向寺太郎'],"['巍子', '陈瑾', '强宇', '栾蕾英']"
57,卧鼠藏虫,['文松'],"['文松', '贾冰', '崔志佳', '张晨光', '周浩东', '代乐乐']"
58,杨德操家的幸福,"['陈强', '王勇']","['马莉', '田瑞', '田艺', '罗梵']"
59,石狮之舞,['唐枫'],"['熊彦鑫', '齐浠儿', '沈保平']"
60,英雄武松,['梁邦辉'],"['孙梓毓', '周浩东', '祝延平']"
