,片名,導演,主演
61,边缘行者,['黄明升'],"['任贤齐', '任达华', '方中信', '谭耀文', '吴卓羲', '陈国坤', '林晓峰', '河国荣', '尹扬明', '朱鉴然', '洪金宝', '林嘉欣', '曾江', '张兆辉', '陈炜', '关礼杰']"
62,迷失1231,['徐晓陆'],"['孙飞翔', '郭蓉', '管金麟']"
63,幺妹住在十三寨,['余铁'],"['廖梦妍', '刘天宝']"
64,安家,['金琛'],"['娜仁花', '范雷']"
65,邓小平小道,['雷献禾'],['卢奇']
66,青花马,[],"['次真', '完颜羽珊']"
67,北方无故人,['张泽斌'],"['孙隽圣', '黄诗佳']"
68,我是真的讨厌异地恋,"['吴洋', '周男燊']","['任敏', '辛云来', '李孝谦', '曹卫宇', '周雨彤', '陈宥维']"
69,出拳吧，妈妈,['唐晓白'],"['谭卓', '田雨', '田海蓉']"
70,黎乡遇见你,['郑洋'],"['周路', '张玉龙']"
71,异兽,['周杰'],"['李鑫妍', '吴晓丽', '吴雨峰']"
72,牧民省长尕布龙,['刘建华'],"['黄品沅', '沈丹萍', '王子子', '刘向京']"
73,青春是首歌,['关立军'],"['徐向东', '白海龙', '漆雕轶柔']"
74,盒子的秘密,['周愉栖'],"['徐香颖', '李昀轩']"
75,刿心剑,['何自强'],"['贺刚', '连凯', '赵文琪']"
76,超级特战队,['罗红胜'],['动画片']
77,暗恋·橘生淮南,['黄斌'],"['张雪迎', '辛云来', '伍嘉成', '刘琳', '辣目洋子', '何蓝逗']"
78,遇见你之后,['侯祖辛'],"['黄尧', '刘迅']"
79,镜世界,['袁杰'],"['罗翔', '苏小妹', '曾漪莲']"
80,云霄之上,['刘智海'],"['陈伟鑫', '吴嘉辉', '聂劲权']"
81,黎乡遇见你,['郑洋'],"['周路', '陈雅静', '乐轩', '张玉龙']"
82,绿茵之外,['郭志荣'],['韩少波']
83,一周的朋友,['林孝谦'],"['赵今麦', '林一 ', '沈月']"
84,焚情,['刘伟恒'],"['郑嘉颖', '陈静', '朱晨丽', '罗兰', '苏志威']"
85,人生大事,['刘江江'],"['朱一龙', '杨恩又', '吴倩', '郑卫莉', '李春嫒']"
86,回南天,['高鸣'],"['黄宇聪', '陈宣宇']"
87,迷途重生,['赵晖'],"['冯萌梦', '王一漪', '于歌', '周楷宸']"
88,地瓜味的冰激凌,['王翀'],"['张艺瀚', '王啸坤']"
89,你是我的春天,"['周楠', '张弛', '田羽生', '董越', '饶晓志']","['周冬雨', '尹昉', '宋小宝', '潘斌龙', '王景春', '赵今麦', '黄晓明', '宋佳', '郑罗茜', '李乃文', '吴彦姝']"
90,地火,['徐耿'],"['赵波', '赵梦迪', '岳红', '张明健']"
91,我的青海,[],[]
92,珠峰队长,['吴曦'],['纪录片']
93,红光,['孟奇'],"['梁缘', '曹骏']"
94,神探大战,['韦家辉'],"['刘青云', '蔡卓妍', '林峯', '李若彤', '谭凯', '陈家乐', '汤怡', '何珮瑜', '吴浩康', '洪天明', '车婉婉', '马志威', '朱鉴然 ']"
95,隐入尘烟,['李睿珺'],"['武仁林', '海清']"
96,何叔衡,"['刘苗苗', '周琦']",['巩峥']
97,外太空的莫扎特,['陈思诚'],"['黄渤', '荣梓杉', '姚晨', '范伟', '梅婷']"
98,最后58天,['常晓阳'],"['姚刚', '张曦文', '汪影馨']"
99,侏罗纪大乐园,[],['动画片']
100,冲出地球,['胡一泊'],['动画片']
101,一直一直都很喜欢你,['吴家凯'],"['周依然', '吴念轩', '吴彦姝', '张歆艺', '袁弘']"
102,开心超人之英雄的心,['黄伟明'],['动画片']
103,阳光照耀塔什库尔干,['林韬'],"['李晨浩', '姑丽米热·多尔兵']"
104,大头大头，下雨不愁,['陈勇'],"['曹随风', '贾旭明', '底玲冲']"
105,北方无故人,['张泽斌'],"['孙隽圣', '吴俊承', '马零犀', '黄诗佳']"
106,七人乐队,"['洪金宝', '许鞍华', '谭家明', '袁和平', '杜琪峰', '林岭东', '徐克']","['洪天明', '吴镇宇', '马赛', '余香凝', '吴澋滔', '元华', '任达华', '龚慈恩', '张达明', '张锦程', '林雪']"
107,猛龙出击,['陆革命'],"['何翔', '程媛媛', '王佳宁', '博弘']"
108,独行月球,['张吃鱼'],"['沈腾', '马丽', '常远', '李诚儒', '黄才伦', '辣目洋子', '黄品沅']"
109,疯了！桂宝之三星夺宝,[],['动画片']
110,迷你世界之觉醒,['邢旭辉'],['动画片']
111,遇见你,['落落'],"['李汶翰', '徐若晗', '王博文', '高秋梓', '柯蓝', '傅淼', '苇青', '谭凯', '连凯']"
112,我们的样子像极了爱情,['王梓骏'],"['李孝谦', '漆昱辰', '林俊毅', '修雨秀']"
113,明日战记,['吴炫辉'],"['古天乐', '刘青云', '刘嘉玲', '姜皓文', '谢君豪', '吴倩', '万国鹏', '张家辉']"
114,猪猪侠大电影·海洋日记,['钟彧'],['动画片']
115,漫长的告白,['张律'],"['倪妮', '张鲁一', '辛柏青', '王佳佳']"
116,致命记忆之花开双生,['国玉峰'],"['卢彩艺', '金俊秀', '王丽语', '宁浩然', '张净桐']"
117,猎屠,['郭晓峰'],"['王千源', '许龄月', '倪大红', '郭晓东', '王迅', '关晓彤', '张兆辉', '童蕾']"
118,永不妥协,['叶大鹰'],"['朱丹', '尤勇智', '海一天 ']"
119,断·桥,['李玉'],"['马思纯', '王俊凯', '范伟', '曾美慧孜', '龚蓓苾', '黄璐', '万茜', '刘琳']"
120,山海经之再见怪兽,['黄健明'],['动画片']
121,乡土,['周德新'],"['何政军', '来喜', '李健']"
122,新神榜：杨戬,['赵霁'],['动画片']
123,人间世,"['陶涛', '张琪', '秦博', '范士广']",['动画片']
124,世界上最爱我的人,['黄岳泰'],"['王千源', '谭卓', '黄杨钿甜', '王大陆']"
125,我的非凡父母,['朱凤娴'],"['惠英红', '吴岱融', '吴千语']"
126,爱情的代驾,['徐林'],"['王成思', '于莎莎', '刘锡明', '常远']"
127,世间有她,"['张艾嘉', '李少红', '陈冲']","['周迅', '郑秀文', '易烊千玺', '冯德伦', '白客', '黄米依', '鲍起静']"
128,海的尽头是草原,['尔冬升'],"['陈宝国', '马苏', '阿云嘎', '罗意淳', '王楚然', '黄尧', '白宇帆', '曹骏', '张铭恩 ']"
129,还是觉得你最好,['陈咏燊'],"['黄子华', '邓丽欣', '张继聪', '王菀之', '林明祯', '陈湛文']"
130,哥，你好,['张栾'],"['马丽', '常远', '魏翔', '贾冰']"
131,狼群,['蒋丛'],"['张晋', '李治廷', '蒋璐霞', '唐国忠', '薛佳凝']"
132,追光万里,['张同道'],['纪录片']
133,闪亮的军号,['韩天善'],"['牛犇', '裴炯棋', '王侃', '王逍佚']"
134,妈妈！,['杨荔钠'],"['吴彦姝', '奚美娟', '文淇', '朱时茂']"
135,追光,['斗琪'],"['刘梦珂', '丁鹤', '郭涛', '王劲松', '金巧巧', '果靖霖']"
136,我要和你在一起,"['曾晋为', '赵祖祥']","['尹昉', '李梦']"
137,热汤,['章明'],"['陈都灵', '李梦', '白梓轩', '赵燕国彰 ']"
138,会考试的猛犸象,['王念一'],['邓恩熙']
139,我世界里的你,['刘竞'],"['刘竞', '小爱']"
140,包青天之天下第一庄,['岳鹏'],"['孙尔', '郭鹏', '余丰欢']"
141,万里归途,['饶晓志'],"['张译', '王俊凯', '殷桃', '成泰燊', '张子贤', '陈昊宇', '王迅', '万茜', '李雪健', '李晨', '王智']"
142,钢铁意志,['宁海强'],"['刘烨', '韩雪', '林永健', '张国强', '董春辉', '何杜娟']"
143,平凡英雄,['陈国辉'],"['李冰冰', '冯绍峰', '黄晓明', '林永健', '张一山', '周依然', '杜淳', '古力娜扎', '马天宇', '黄奕']"
144,新大头儿子和小头爸爸5：我的外星朋友,"['叶琳', '李蔚思']",['动画片']
145,我是霸王龙,"['尚铭', '思琳']",['动画片']
146,搜救,['罗志良'],"['甄子丹', '韩雪', '贾冰']"
147,队长老爸,['黑子'],"['黑子', '张晞临', '李东学']"
148,我的遗憾和你有关,"['甄永波', '甄永涛']","['何蓝逗', '曹煜辰', '包贝尔', '贾冰']"
149,陪你在全世界长大,['徐承华'],"['辛巴', '徐承华', '王冰', '奚志农']"
150,扫黑行动,['朱成'],"['周一围', '秦海璐', '曾志伟', '张智霖', '邵兵', '王劲松', '王迅', '吴孟达', '张艺上', '曹卫宇', '吕良伟', '董璇']"
151,你好，珠峰,['徐承华'],"['韩子君', '陈小香', '陈定伟']"
152,天之书,"['王筱刚', '王应蛟']","['李砚', '张楠', '刘佩琦', '徐锦江', '吕良伟', '曾江', '何文辉', '孙明明']"
153,叫我郑先生,['邹德全'],"['涂们', '王真儿', '林雪', '高捷']"
154,您好，北京,['曹茜茜'],"['安泽豪', '徐峥', '刘犇', '李斐然', '海一天']"
155,让这首歌作证,['丁小明'],"['张傲月', '黄俊鹏']"
156,个十百千万,"['孙扬', '胡旭彤']",['纪录片']
157,我的三平方,['米禾禾'],"['唐子皓', '罗大涛']"
158,因爱而伟大,['黄龙芳'],"['涂松岩', '童蕾', '孔连顺', '黄佳军', '郭涛', '淳于珊珊', '刘亚津', '赵亮']"
159,诗巫风云,['黄力加'],"['石文中', '邓凯匀', '靳飞', '李诚儒']"
160,不要再见啊，鱼花塘 ,['牛小雨'],"['叶子', '郑圣芝']"
161,想见你,['黄天仁'],"['柯佳嬿', '许光汉', '施柏宇', '金世佳']"
162,变身攻略,"['王伟奎', '王小玮']","['杨小兰', '焦睿', '高语芯']"
163,西游记之七十二变,['覃劼'],['动画片']
164,绝望主夫,['张琦'],"['常远', '李嘉琦', '魏翔', '王成思', '黄才伦', '李诚儒', '王智', '赵柯']"
