,片名,導演,主演
72,记忆切割,['果靖霖'],"['郭采洁', '刘雪华', '果靖霖', '王芯宜', '徐峥']"
73,生死坚守,['姚兰⼉'],"['郑奇', '王艺禅', '⾕伟', '王霙', '郭伟华', '王伍福']"
74,空中之城,['敏卉'],"['刘涛', '张嘉益']"
75,天地之间,['赵艺然'],"['訾富尔', '战立国', '黄品沅', '吴京安']"
76,寻鹿香巴拉,"['姚橹', '陈同明']","['姚橹', '洛桑群培', '索朗旺姆']"
77,笨贼向前冲,['史震飞'],"['马有才', '彤彤']"
78,丹顶鹤女孩,['廖⼦豪'],"['孙苏雅', '郑晓甫', '张明健']"
79,悬崖之上,['张艺谋'],"['张译', '于和伟', '秦海璐', '朱亚文', '刘浩存', '倪大红', '李乃文', '余皑磊', '雷佳音', '沙溢']"
80,你的婚礼,['韩天'],"['许光汉', '章若楠', '丁冠森', '晏紫东', '郭丞', '王莎莎']"
81,爱情来时,['郑红'],"['⽯靖怡', '喻⼤维']"
82,秘密访客,['陈正道'],"['郭富城', '段奕宏', '张子枫', '许玮甯', '荣梓杉', '王圣迪']"
83,阳光劫匪,['李玉'],"['马丽', '宋佳', '张海宇', '谢锐韬', '曾志伟', '沙溢', '杨迪', '詹瑞文']"
84,扫黑·决战,['吕聿来'],"['姜武', '张颂文', '金世佳', '李倩', '尤勇智', '刘琳', '白志迪', '王佳佳']"
85,真·三国无双,['周显扬'],"['王凯', '古天乐', '吕良伟', '杨祐宁', '刘嘉玲', '韩庚', '古力娜扎', '林雪', '姜皓文', '张建声', '张兆辉', '罗家英']"
86,寻汉计,['唐大年'],"['任素汐', '李保田', '王子川', '张本煜', '李勤勤']"
87,追虎擒龙,"['王晶', '许悦铭']","['古天乐', '梁家辉', '吴镇宇', '林家栋', '姜皓文', '胡然', '郑则仕', '蔡洁']"
88,猪猪侠大电影·恐龙日记,['钟彧'],['动画片']
89,你在我的世界里,['徐衍涛'],"['马灿灿', '齐景斌', '傅晓娜']"
